全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0199,印花税,,,CNY,应税,专票/普票,特殊科目,,待确认,,,印花税相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55182,"Charges related to 印花税, specific concept and rates need further confirmation based on actual business requirements."
FC0200,仓储费用,,,CNY,应税,专票/普票,仓储费用,仓储,仓储公司,,,仓储费用，货物在仓库存储期间产生的费用，包括存储、保管、装卸等服务。,应付,,"仓储费用, Warehouse storage fee including storage, custody, and handling services during the storage period."
FC0201,仓库运作成本,,,CNY,应税,专票/普票,仓储费用,,仓储公司,,,仓库运作成本，货物仓储保管过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"仓库运作成本, charges related to 货物仓储保管过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0202,前置仓费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,前置仓费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55905,"Charges related to 前置仓费, specific concept and rates need further confirmation based on actual business requirements."
FC0203,库前服务费,,,CNY,应税,专票/普票,仓储费用,仓储,仓储公司,,,库前服务费，货物仓储保管过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55853,"库前服务费, charges related to 货物仓储保管过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0204,出入库费,,,CNY,应税,专票/普票,装卸费用,仓储,装卸公司,,,出入库费，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,WMS01001,"出入库费, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0205,代垫进出库杂费,,,CNY,应税,专票/普票,装卸费用,仓储,装卸公司,,,代垫进出库杂费，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55080,"代垫进出库杂费, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0206,入库登记费,,,CNY,应税,专票/普票,装卸费用,仓储,装卸公司,,,入库登记费，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55781,"入库登记费, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0207,仓储费,,,CNY,应税,专票/普票,仓储费用,仓储,仓储公司,,,货物在仓库存储期间产生的费用，包括存储、保管、装卸等服务。,应付,"WMS01005, 655255, 55129, 55780, 20070702, 55667, 55669, 55670","Warehouse storage fee including storage, custody, and handling services during the storage period."
FC0208,房租费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,房租费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"WMS01018, 55116","Charges related to 房租费, specific concept and rates need further confirmation based on actual business requirements."
FC0209,公共事业费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,公共事业费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 公共事业费用, specific concept and rates need further confirmation based on actual business requirements."
FC0210,水费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,水费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55908,"Charges related to 水费, specific concept and rates need further confirmation based on actual business requirements."
FC0211,电费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,电费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,WMS01014,"Charges related to 电费, specific concept and rates need further confirmation based on actual business requirements."
FC0212,网费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,网费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 网费, specific concept and rates need further confirmation based on actual business requirements."
FC0213,物业费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,物业费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55133   , 55133","Charges related to 物业费, specific concept and rates need further confirmation based on actual business requirements."
FC0214,保洁费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,保洁费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55139   , 55139","Charges related to 保洁费, specific concept and rates need further confirmation based on actual business requirements."
FC0215,单证文件费,,,CNY,应税,专票/普票,单证文件费用,,船公司/代理,,,单证文件费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"单证文件费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0216,单证文件制作及使用费,,,CNY,应税,专票/普票,单证文件费用,,船公司/代理,,,单证文件制作及使用费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"单证文件制作及使用费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0217,海运单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,海运单费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEA01023,"Charges related to 海运单费, specific concept and rates need further confirmation based on actual business requirements."
FC0218,换单费,,,CNY,应税,专票/普票,单证文件费用,换单,船代/目的港代理,,,在目的港用海运提单换取提货单的服务费用，获得提取货物的权利。,应付,"OP001002, OPN063, 55214, OPN064",Fee for exchanging ocean bill of lading for delivery order at destination port to obtain cargo release rights.
FC0219,代垫换单费,,,CNY,应税,专票/普票,单证文件费用,换单,船代/目的港代理,,,代垫换单费，在目的港用海运提单换取提货单的服务费用，获得提取货物的权利。,应付,55829,"代垫换单费, Fee for exchanging ocean bill of lading for delivery order at destination port to obtain cargo release rights."
FC0220,船证费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,船证费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEAN096,"Charges related to 船证费, specific concept and rates need further confirmation based on actual business requirements."
FC0221,文件费/制单费,,,CNY,应税,专票/普票,单证文件费用,,船公司/代理,,,文件费/制单费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"OP009001/OP001018, 05011107, 55151, OP001018, SEA01006","文件费/制单费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0222,电放费,,,CNY,应税,专票/普票,单证文件费用,换单,船公司,,,电子放货费，通过电子方式放货而非纸质提单的服务费用。,应付,"OP009001/OP001018, 05011107, 55151, OP001018, SEA01005",Electronic release fee for cargo release via electronic means instead of paper bill of lading.
FC0223,出口许可证,,,CNY,应税,专票/普票,单证文件费用,,船公司/代理,,,出口许可证，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"OP009001/OP001018, 05011107, 55151, OP001018","出口许可证, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0224,进口许可证,,,CNY,应税,专票/普票,单证文件费用,,船公司/代理,,,进口许可证，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"OP009001/OP001018, 05011107, 55151, OP001018","进口许可证, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0225,签证费,,,CNY,应税,专票/普票,单证文件费用,,船公司/代理,,,签证费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55820,"签证费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0226,电子装箱单,,,CNY,应税,专票/普票,集装箱费用,内装,船公司/箱东,,,电子装箱单，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SY55001,"电子装箱单, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0227,3C代理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,3C代理费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,550046,"Charges related to 3C代理费, specific concept and rates need further confirmation based on actual business requirements."
FC0228,能效证办理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,能效证办理费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55096,"Charges related to 能效证办理费, specific concept and rates need further confirmation based on actual business requirements."
FC0229,异地放单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,异地放单费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,0332,"Charges related to 异地放单费, specific concept and rates need further confirmation based on actual business requirements."
FC0230,产地证代理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,产地证代理费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"58999, 0301","Charges related to 产地证代理费, specific concept and rates need further confirmation based on actual business requirements."
FC0231,签单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,签单费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,0115,"Charges related to 签单费, specific concept and rates need further confirmation based on actual business requirements."
FC0232,舱单费,,,CNY,应税,专票/普票,单证文件费用,舱单,船公司/船代,,,向海关申报船舶载运货物舱单信息的费用，是海运必备程序。,应付,CS001012,"Fee for manifest declaration to customs authorities, a mandatory procedure for ocean shipping."
FC0233,交货记录费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,交货记录费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"CSN053  , CSN053","Charges related to 交货记录费, specific concept and rates need further confirmation based on actual business requirements."
FC0234,鉴定费,,,CNY,应税,专票/普票,增值服务费用,,服务商,,,鉴定费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,CQ001012,"鉴定费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0235,补录进口舱单费,,,CNY,应税,专票/普票,单证文件费用,舱单,船公司/船代,,,补录进口舱单费，向海关申报船舶载运货物舱单信息的费用，是海运必备程序。,应付,55253,"补录进口舱单费, Fee for manifest declaration to customs authorities, a mandatory procedure for ocean shipping."
FC0236,邮戳费,Stamp Fee,,CNY,应税,专票/普票,特殊科目,,待确认,,,邮戳费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55913,"Charges related to 邮戳费, specific concept and rates need further confirmation based on actual business requirements."
FC0237,入库代理费,,,CNY,应税,专票/普票,装卸费用,仓储,装卸公司,,,入库代理费，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,OPN075,"入库代理费, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0238,入区代理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,入区代理费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,OPN074,"Charges related to 入区代理费, specific concept and rates need further confirmation based on actual business requirements."
FC0239,文件传输及申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,文件传输及申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"文件传输及申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0240,运抵更改费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,运抵更改费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,655237,"Charges related to 运抵更改费, specific concept and rates need further confirmation based on actual business requirements."
FC0241,改单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,改单费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"CS001007, 55192","Charges related to 改单费, specific concept and rates need further confirmation based on actual business requirements."
FC0242,集装箱核实重量费,,VGM,CNY,应税,专票/普票,集装箱费用,内装,船公司/箱东,,,集装箱核实重量费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"集装箱核实重量费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0243,VGM更改费,,,CNY,应税,专票/普票,单证文件费用,,船公司/代理,,,VGM更改费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55078,"VGM更改费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0244,舱单更改费,,,CNY,应税,专票/普票,单证文件费用,舱单,船公司/代理,,,舱单更改费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,0303,"舱单更改费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0245,美国进口安全申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,美国进口安全申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"550026  , 55150","美国进口安全申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0246,AES信息传输费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,AES信息传输费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,CS001021,"Charges related to AES信息传输费, specific concept and rates need further confirmation based on actual business requirements."
FC0247,VGM传输费,,,CNY,应税,专票/普票,单证文件费用,,船公司/信息服务商,,,VGM(Verified Gross Mass)集装箱核实重量信息传输费，向相关部门传输集装箱核实重量信息的费用。,应付,55914,VGM (Verified Gross Mass) transmission fee for sending container weight verification information to relevant authorities.
FC0248,危险品申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,危险品申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"SEA01066, 55738","危险品申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0249,有毒物质申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,有毒物质申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55842,"有毒物质申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0250,舱单申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,舱单申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55775, SEA01018","舱单申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0251,信息费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,信息费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 信息费, specific concept and rates need further confirmation based on actual business requirements."
FC0252,更改费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,更改费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"CSN045  , CSN045","Charges related to 更改费, specific concept and rates need further confirmation based on actual business requirements."
FC0253,删单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,删单费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,CS001006,"Charges related to 删单费, specific concept and rates need further confirmation based on actual business requirements."
FC0254,运抵费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,运抵费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEA01031,"Charges related to 运抵费, specific concept and rates need further confirmation based on actual business requirements."
FC0255,文件申报罚金,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,文件申报罚金，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,655257,"文件申报罚金, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0256,拍照费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,拍照费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEAN085,"Charges related to 拍照费, specific concept and rates need further confirmation based on actual business requirements."
FC0257,包装检查费,,,CNY,应税,专票/普票,增值服务费用,"加固,质量控制",服务商,,,包装检查费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,CQ001018,"包装检查费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0258,监理费,,,CNY,应税,专票/普票,特殊科目,质量控制,待确认,,,监理费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,CSN036,"Charges related to 监理费, specific concept and rates need further confirmation based on actual business requirements."
FC0259,现场服务费,,,CNY,应税,专票/普票,特殊科目,质量控制,待确认,,,现场服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55157   , 55128, 55157","Charges related to 现场服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0260,日本舱单申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,日本舱单申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,550045,"日本舱单申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0261,欧洲舱单申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,欧洲舱单申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"SEA01111, 655232","欧洲舱单申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0262,加拿大舱单申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,加拿大舱单申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEA01110,"加拿大舱单申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0263,美国舱单申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,美国舱单申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"SEA01109, 655231","美国舱单申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0264,NVOCC代发分单反恐信息费,,,CNY,应税,专票/普票,特殊科目,HBL,待确认,,,NVOCC代发分单反恐信息费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to NVOCC代发分单反恐信息费, specific concept and rates need further confirmation based on actual business requirements."
FC0265,美国舱单更改费,,,CNY,应税,专票/普票,单证文件费用,舱单,船公司/代理,,,美国舱单更改费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,8013,"美国舱单更改费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0266,设备使用及租赁费用,,,CNY,应税,专票/普票,特殊科目,设备保护,待确认,,,设备使用及租赁费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 设备使用及租赁费用, specific concept and rates need further confirmation based on actual business requirements."
FC0267,叉车费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,叉车费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"WMS01003, 55773, AIR01001","Charges related to 叉车费, specific concept and rates need further confirmation based on actual business requirements."
FC0268,板架租赁费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,板架租赁费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55818,"Charges related to 板架租赁费, specific concept and rates need further confirmation based on actual business requirements."
FC0269,GPS使用费,,,CNY,应税,专票/普票,特殊科目,设备保护,待确认,,,GPS使用费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"550059  , 55173","Charges related to GPS使用费, specific concept and rates need further confirmation based on actual business requirements."
FC0270,电子密钥费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,电子密钥费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55093,"Charges related to 电子密钥费, specific concept and rates need further confirmation based on actual business requirements."
FC0271,叉车租赁费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,叉车租赁费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55837,"Charges related to 叉车租赁费, specific concept and rates need further confirmation based on actual business requirements."
FC0272,机动车租赁,,,CNY,应税,专票/普票,特殊科目,,待确认,,,机动车租赁相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 机动车租赁, specific concept and rates need further confirmation based on actual business requirements."
FC0273,吊车租赁费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,吊车租赁费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55179   , 55179","Charges related to 吊车租赁费, specific concept and rates need further confirmation based on actual business requirements."
FC0274,PAD租赁费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,PAD租赁费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to PAD租赁费, specific concept and rates need further confirmation based on actual business requirements."
FC0275,增值服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,增值服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 增值服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0276,物流准备服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,物流准备服务相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 物流准备服务, specific concept and rates need further confirmation based on actual business requirements."
FC0277,质量控制,,,CNY,应税,专票/普票,特殊科目,质量控制,待确认,,,质量控制相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 质量控制, specific concept and rates need further confirmation based on actual business requirements."
FC0278,GPS安装费,,,CNY,应税,专票/普票,特殊科目,设备保护,待确认,,,GPS安装费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,WMSN085,"Charges related to GPS安装费, specific concept and rates need further confirmation based on actual business requirements."
FC0279,核酸检测费,,,CNY,应税,专票/普票,增值服务费用,,服务商,,,核酸检测费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55858,"核酸检测费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0280,包装,,,CNY,应税,专票/普票,增值服务费用,加固,服务商,,,包装，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"包装, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0281,加固费,,,CNY,应税,专票/普票,增值服务费用,加固,服务商,,,加固费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"SEAN097 , 55251","加固费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0282,托盘费,,,CNY,应税,专票/普票,增值服务费用,托盘,服务商,,,托盘费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,WMS01013,"托盘费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0283,包装费,,,CNY,应税,专票/普票,增值服务费用,加固,服务商,,,包装费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"0326    , 55283, 55661","包装费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0284,材料费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,材料费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,OP001019,"Charges related to 材料费, specific concept and rates need further confirmation based on actual business requirements."
FC0285,组板费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,组板费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55880,"Charges related to 组板费, specific concept and rates need further confirmation based on actual business requirements."
FC0286,拼装材料费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,拼装材料费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55845,"Charges related to 拼装材料费, specific concept and rates need further confirmation based on actual business requirements."
FC0287,其他准备服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,其他准备服务相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 其他准备服务, specific concept and rates need further confirmation based on actual business requirements."
FC0288,危标费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,危标费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55271   , 55271","Charges related to 危标费, specific concept and rates need further confirmation based on actual business requirements."
FC0289,贴标费,,,CNY,应税,专票/普票,增值服务费用,贴唛,服务商,,,贴标费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55759,"贴标费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0290,熏蒸费,,,CNY,应税,专票/普票,增值服务费用,熏蒸,熏蒸公司,,,对木质包装或货物进行除虫杀菌处理的费用，符合进口国植检要求。,应付,CQ001002,Fumigation fee for pest and bacteria treatment of wooden packaging or cargo to meet import country phytosanitary requirements.
FC0291,检测鉴定费,,,CNY,应税,专票/普票,增值服务费用,,服务商,,,检测鉴定费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"550056  , 55771","检测鉴定费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0292,过磅费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,过磅费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"OPN056  , OPN056","Charges related to 过磅费, specific concept and rates need further confirmation based on actual business requirements."
FC0293,消毒费,,,CNY,应税,专票/普票,增值服务费用,熏蒸,服务商,,,消毒费，为货物提供增值服务时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,CQ001005,"消毒费, charges related to 为货物提供增值服务时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0294,贸易服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,贸易服务相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 贸易服务, specific concept and rates need further confirmation based on actual business requirements."
FC0295,会展服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,会展服务相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 会展服务, specific concept and rates need further confirmation based on actual business requirements."
FC0296,场馆管理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,场馆管理费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55115,"Charges related to 场馆管理费, specific concept and rates need further confirmation based on actual business requirements."
FC0297,ISF保证金,,,CNY,应税,专票/普票,特殊科目,,待确认,,,ISF保证金相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55149   , 55149","Charges related to ISF保证金, specific concept and rates need further confirmation based on actual business requirements."
FC0298,进馆费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,进馆费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55087   , 55144","Charges related to 进馆费, specific concept and rates need further confirmation based on actual business requirements."
FC0299,施工费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,施工费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55127   , 55127","Charges related to 施工费, specific concept and rates need further confirmation based on actual business requirements."
FC0300,展品附加费,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,展品附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55125   , 55125","展品附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0301,IT服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,IT服务相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to IT服务, specific concept and rates need further confirmation based on actual business requirements."
